#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-07-25T12:52:07 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d39a547de31	
#INFO	-out.max=unlimited	
#INFO	queryParameters=8	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-source=J/AJ/126/1607/table1
#

#RESOURCE=yCat_51261607
#Name: J/AJ/126/1607
#Title: IRAS Revised Bright Galaxy Sample (Sanders+, 2003)
#Table	J_AJ_126_1607_table1:
#Name: J/AJ/126/1607/table1
#Title: IRAS Revised Bright Galaxy Sample: Integrated Flux Densities and Luminosities
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(a17)	Common name (1)	[ucd=]
#Column	n_Name	(A1)	indicates complements in table3	[ucd=]
#Column	f_Name	(A1)	Flag on Name (2)	[ucd=]
#Column	IRAS	(a11)	IRAS name (3)	[ucd=]
#Column	f_IRAS	(A1)	Flag on IRAS (4)	[ucd=]
#Column	RAJ2000	(A10)	Hour of right ascension (J2000) (5)	[ucd=]
#Column	DEJ2000	(A9)	Degree of declination (J2000) (5)	[ucd=]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=]
#Column	GLAT	(F6.2)	Galactic latitude	[ucd=]
#Column	HR	(A1)	HIRES code (6)	[ucd=]
#Column	l_F12um	(A1)	Limit flag on F12um	[ucd=]
#Column	F12um	(F7.2)	Total 12 micron band flux density	[ucd=]
#Column	u_F12um	(A1)	Confusion uncertainty flag on F12um	[ucd=]
#Column	e_F12um	(I2)	? 1 {sigma} error in F12um [NULL integer written as an empty string]	[ucd=]
#Column	S12um	(A1)	IR size flag on 12um (7)	[ucd=]
#Column	M12um	(A1)	Best flux estimate method flag on 12um (8)	[ucd=]
#Column	C12um	(A1)	Confusion type flag on 12um (9)	[ucd=]
#Column	F25um	(F7.2)	Total 25 micron band flux density	[ucd=]
#Column	u_F25um	(A1)	Confusion uncertainty flag on 25um	[ucd=]
#Column	e_F25um	(I3)	? 1 {sigma} error in F25um [NULL integer written as an empty string]	[ucd=]
#Column	S25um	(A1)	IR size flag on 25um (7)	[ucd=]
#Column	M25um	(A1)	Best flux estimate method flag on 25um (8)	[ucd=]
#Column	C25um	(A1)	Confusion type flag on 25um (9)	[ucd=]
#Column	F60um	(F8.2)	Total 60 micron band flux density	[ucd=]
#Column	u_F60um	(A1)	Confusion uncertainty flag on 60um	[ucd=]
#Column	e_F60um	(I3)	? 1 {sigma} error in F60um [NULL integer written as an empty string]	[ucd=]
#Column	S60um	(A1)	IR size flag on 60um (7)	[ucd=]
#Column	M60um	(A1)	Best flux estimate method flag on 60um (8)	[ucd=]
#Column	C60um	(A1)	Confusion type flag on 60um (9)	[ucd=]
#Column	F100um	(F8.2)	? Total 100 micron band flux density	[ucd=]
#Column	u_F100um	(A1)	Confusion uncertainty flag on 100um	[ucd=]
#Column	e_F100um	(I4)	? 1 {sigma} error in F100um [NULL integer written as an empty string]	[ucd=]
#Column	S100um	(A1)	IR size flag on 100um (7)	[ucd=]
#Column	M100um	(A1)	Best flux estimate method flag on 100um (8)	[ucd=]
#Column	C100um	(A1)	Confusion type flag on 100um (9)	[ucd=]
#Column	cz	(I5)	Heliocentric radial velocity (10)	[ucd=]
#Column	Dist	(F6.2)	Estimated source distance (11)	[ucd=]
#Column	f_Dist	(A1)	Flag on Dist (12)	[ucd=]
#Column	LogIR1	(F5.2)	Log of the 40-400 micron luminosity (13)	[ucd=]
#Column	u_LogIR1	(A1)	Uncertainty flag on LogIR1	[ucd=]
#Column	LogIR2	(F5.2)	Log of the 8-1000 micron luminosity (14)	[ucd=]
#Column	u_LogIR2	(A1)	Uncertainty flag on LogIR2	[ucd=]
#Column	Rank	(I3)	Sequential rank in the luminosity distribution	[ucd=]
#Column	OName	(a35)	Other names (15)	[ucd=]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=]
_RAJ2000	_DEJ2000	Name	n_Name	f_Name	IRAS	f_IRAS	RAJ2000	DEJ2000	GLON	GLAT	HR	l_F12um	F12um	u_F12um	e_F12um	S12um	M12um	C12um	F25um	u_F25um	e_F25um	S25um	M25um	C25um	F60um	u_F60um	e_F60um	S60um	M60um	C60um	F100um	u_F100um	e_F100um	S100um	M100um	C100um	cz	Dist	f_Dist	LogIR1	u_LogIR1	LogIR2	u_LogIR2	Rank	OName	Simbad	NED
011.887917	-25.287500	NGC 0253         	 	1	F00450-2533	R	00 47 33.1	-25 17 15	 97.37	-87.96	 	 	  41.04	 	35	R	Z	 	 154.67	 	 45	R	Z	 	  967.81	 	 65	R	I	 	 1288.15	 	 644	R	I	 	  261	  3.10	S	10.29	 	10.44	 	378	                                   	Simbad	NED
013.017917	+47.550278	NGC 0278         	 	2	F00492+4716	 	00 52 04.3	+47 33 01	123.04	-15.32	 	 	   1.65	 	28	R	I	 	   2.65	 	 21	R	I	 	   25.03	 	 40	M	I	 	   44.46	 	 418	U	T	 	  641	 11.45	 	 9.90	 	10.03	 	519	                                   	Simbad	NED
013.178333	-31.205278	NGC 0289         	 	N	F00502-3128	 	00 52 42.8	-31 12 19	299.10	-85.91	 	 	   0.45	 	30	R	I	 	   0.60	 	 37	R	I	 	    5.47	 	 38	R	I	 	   16.90	 	 121	M	I	 	 1628	 21.60	 	 9.97	 	10.03	 	520	VV484;AM0050-312                   	Simbad	NED
013.516667	+73.086944	MCG+12-02-001    	 	2	F00506+7248	 	00 54 04.0	+73 05 13	123.13	 10.22	U	 	   0.78	 	52	U	T	 	   3.51	 	 28	U	T	 	   21.92	 	 32	U	T	 	   29.11	 	 424	U	T	 	 4706	 64.28	 	11.29	 	11.44	 	 84	                                   	Simbad	NED
013.186250	-72.828333	SMC              	*	2	           	R	00 52 44.7	-72 49 42	302.80	-44.30	 	 	  67.03	 	  	R	R	 	 270.18	 	   	R	R	 	 6688.90	 	   	R	R	 	15021.90	 	    	R	R	 	  158	  0.06	P	 7.84	 	 7.86	 	627	                                   	Simbad	NED
013.707917	+29.245000	UGC 00556        	 	1	F00521+2858	 	00 54 49.9	+29 14 42	123.82	-33.62	 	 	   0.34	 	21	U	T	 	   0.45	 	 39	U	T	 	    5.57	 	 45	U	T	 	   10.84	 	 100	U	T	 	 4640	 60.71	 	10.73	 	10.84	 	250	                                   	Simbad	NED
013.720417	-37.685833	NGC 0300         	 	N	           	R	00 54 52.9	-37 41 09	299.22	-79.42	 	 	   0.90	 	29	R	Z	 	   1.96	 	 38	R	Z	 	   15.30	 	 79	R	Z	 	   48.04	 	 208	R	Z	 	  142	  2.00	P	 8.35	 	 8.39	 	626	AM0052-375                         	Simbad	NED
014.420417	+43.793611	NGC 0317B        	*	2	F00548+4331	 	00 57 40.9	+43 47 37	124.12	-19.06	R	 	   0.20	 	23	U	T	 	   1.03	 	 22	U	T	 	    9.16	 	 36	U	T	 	   13.60	 	 142	U	T	 	 5334	 70.30	 	11.01	 	11.11	 	156	VZw042;KPG019B                     	Simbad	NED
014.956667	 -7.581111	NGC 0337         	 	1	F00573-0750	 	00 59 49.6	-07 34 52	129.12	-70.35	 	 	   0.24	 	59	U	T	 	   0.76	 	 50	R	I	 	    9.07	 	 43	R	I	 	   20.11	 	 387	M	I	 	 1623	 21.59	 	10.07	 	10.13	 	491	                                   	Simbad	NED
016.942917	-17.508889	IC 1623A/B       	 	1	F01053-1746	 	01 07 46.3	-17 30 32	145.18	-79.67	R	 	   1.03	 	30	R	I	 	   3.65	 	 50	U	T	 	   22.93	 	 62	U	T	 	   31.55	 	 113	U	T	 	 6028	 78.57	 	11.50	 	11.65	 	 47	ARP236;VV114                       	Simbad	NED
017.535417	-16.853889	MCG-03-04-014    	 	1	F01076-1707	 	01 10 08.5	-16 51 14	146.73	-78.85	 	 	   0.34	 	43	U	T	 	   0.90	 	 36	U	T	 	    7.25	 	 60	U	T	 	   10.33	 	 136	U	T	 	10469	136.17	 	11.49	 	11.63	 	 49	                                   	Simbad	NED
019.535833	-44.461111	ESO 244-G012     	 	2	F01159-4443	 	01 18 08.6	-44 27 40	287.48	-71.86	 	 	   0.39	:	46	U	P	n	   1.95	 	 37	M	I	 	    9.27	 	 53	U	T	 	   11.76	 	  92	U	T	 	 6866	 90.96	 	11.22	 	11.39	:	 90	VV827;AM0115-444                   	Simbad	NED
019.937500	 +3.410000	NGC 0470         	 	1	F01171+0308	 	01 19 45.0	+03 24 36	136.63	-58.71	 	 	   0.42	 	36	U	T	 	   1.11	 	 74	U	T	 	    7.22	 	 43	U	T	 	   12.20	 	 117	U	T	 	 2374	 31.12	 	10.22	 	10.37	 	397	ARP227                             	Simbad	NED
020.005833	+14.359722	CGCG 436-030     	*	1	F01173+1405	 	01 20 01.4	+14 21 35	133.29	-47.94	 	 	   0.21	 	43	U	T	 	   1.54	 	 48	U	T	 	   10.71	 	 38	U	T	 	    9.67	 	 188	U	T	 	 9415	122.02	 	11.55	 	11.63	 	 48	                                   	Simbad	NED
020.447500	+17.592500	UGC 00903        	 	1	F01191+1719	 	01 21 47.4	+17 35 33	133.13	-44.68	 	 	   0.37	 	37	U	T	 	   0.56	 	 43	U	T	 	    7.78	 	 51	U	T	 	   15.45	 	 156	U	T	 	 2518	 33.16	 	10.35	 	10.44	 	381	                                   	Simbad	NED
021.143333	 +3.791389	NGC 0520         	 	1	F01219+0331	 	01 24 34.4	+03 47 29	138.70	-58.06	*	 	   0.90	 	39	R	I	 	   3.22	 	 30	M	I	 	   31.52	 	 40	U	T	 	   47.37	 	 146	U	T	 	 2305	 30.22	 	10.81	 	10.91	 	225	ARP157;VV231;KPG031                	Simbad	NED
023.475000	+30.668611	NGC 0598         	 	1	01310+3024 	R	01 33 54.0	+30 40 07	133.62	-31.32	 	 	  32.69	 	  	R	R	 	  40.26	 	   	R	R	 	  419.65	 	   	R	R	 	 1256.43	 	    	R	R	 	 -179	  0.84	P	 9.02	 	 9.07	 	613	                                   	Simbad	NED
023.574167	-29.419444	NGC 0613         	 	1	F01319-2940	 	01 34 17.8	-29 25 10	229.08	-80.29	 	 	   2.25	 	47	R	I	 	   4.32	 	 36	R	I	 	   27.38	 	 38	R	I	 	   59.21	 	  78	M	I	 	 1475	 14.98	S	10.22	 	10.37	 	399	VV824;AM0132-294                   	Simbad	NED
023.705833	-36.140278	ESO 353-G020     	 	2	F01325-3623	 	01 34 49.4	-36 08 25	259.98	-77.11	 	 	   0.37	 	33	R	I	 	   0.71	 	 22	U	T	 	    7.17	 	 36	U	T	 	   15.54	 	 129	U	T	 	 4797	 63.37	 	10.90	 	11.00	 	201	                                   	Simbad	NED
023.774167	-41.438056	NGC 0625         	 	2	F01329-4141	 	01 35 05.8	-41 26 17	273.67	-73.12	 	 	   0.20	 	34	U	T	 	   1.30	 	 25	R	I	 	    5.73	 	 40	U	T	 	    8.63	 	 133	U	T	 	  386	  4.46	 	 8.40	 	 8.57	 	622	AM0132-414                         	Simbad	NED
024.171667	+15.791389	NGC 0628         	 	1	F01339+1532	R	01 36 41.2	+15 47 29	138.61	-45.70	 	 	   2.45	 	38	R	Z	 	   2.87	 	 60	R	Z	 	   21.54	 	 45	R	Z	 	   54.45	 	 229	R	I	 	  654	  9.99	 	 9.82	 	 9.95	 	537	                                   	Simbad	NED
024.102917	-37.332222	ESO 297-G011/012 	*	2	F01341-3735	 	01 36 24.7	-37 19 56	262.83	-76.07	S	 	   0.37	:	33	R	I	b	   1.55	:	 27	R	I	b	    7.77	:	 38	R	I	b	   12.90	:	 129	M	I	b	 5137	 67.88	 	10.93	:	11.09	:	163	AM0134-373                         	Simbad	NED
024.719167	-10.454167	IRAS F01364-1042 	 	1	F01364-1042	 	01 38 52.6	-10 27 15	159.01	-69.93	 	<	   0.16	 	  	 	 	 	   0.44	 	 36	U	T	 	    6.62	 	 42	U	T	 	    6.88	 	 114	U	T	 	14519	188.37	 	11.73	 	11.76	:	 37	                                   	Simbad	NED
024.803750	-75.011111	NGC 0643B        	 	2	F01384-7515	 	01 39 12.9	-75 00 40	298.82	-41.73	 	 	   0.32	 	17	U	T	 	   0.84	 	 19	U	T	 	    7.36	 	 31	U	T	 	   13.76	 	 134	U	T	 	 3966	 54.59	 	10.74	 	10.85	 	245	AM0138-751                         	Simbad	NED
025.758750	+13.645833	NGC 0660         	 	1	F01403+1323	 	01 43 02.1	+13 38 45	141.60	-47.35	 	 	   3.05	 	76	M	I	 	   7.30	 	 47	U	T	 	   65.52	 	 88	U	T	 	  114.74	 	 134	M	I	 	  856	 12.33	 	10.38	 	10.49	 	362	                                   	Simbad	NED
026.125000	+17.101111	III Zw 035       	 	1	F01417+1651	 	01 44 30.0	+17 06 04	140.66	-43.94	 	<	   0.06	 	  	 	 	 	   1.03	 	 59	U	T	 	   13.25	 	 50	U	T	 	   14.30	 	 155	U	T	 	 8257	106.96	 	11.52	 	11.56	:	 65	                                   	Simbad	NED
027.628750	 +6.145278	NGC 0693         	 	1	F01479+0553	 	01 50 30.9	+06 08 43	148.34	-53.79	 	 	   0.24	 	41	U	T	 	   0.55	 	 50	U	T	 	    6.74	 	 43	U	T	 	   11.83	 	 136	U	T	 	 1593	 21.21	 	 9.86	 	 9.96	 	535	                                   	Simbad	NED
027.808333	+22.581944	NGC 0695         	 	1	F01484+2220	 	01 51 14.0	+22 34 55	140.58	-38.23	 	 	   0.50	 	23	U	T	 	   0.83	 	 41	U	T	 	    7.59	 	 31	U	T	 	   13.56	 	 167	U	T	 	 9770	126.70	 	11.49	 	11.63	 	 50	VZw123                             	Simbad	NED
027.822917	+22.358333	NGC 0697         	 	1	F01485+2206	 	01 51 17.5	+22 21 30	140.68	-38.44	 	 	   0.65	 	27	R	I	 	   0.91	 	 40	R	I	 	    5.38	 	 36	R	I	 	   18.01	 	 196	M	I	 	 3117	 40.81	 	10.55	 	10.64	 	314	                                   	Simbad	NED
027.768750	 -9.701111	NGC 0701         	 	1	F01486-0956	 	01 51 04.5	-09 42 04	164.66	-67.60	 	 	   0.62	 	28	R	I	 	   0.67	 	 35	U	T	 	    6.17	 	 51	U	T	 	   14.90	:	 109	U	P	n	 1827	 19.87	S	 9.86	:	 9.98	:	530	                                   	Simbad	NED
028.245000	+12.706944	NGC 0716         	*	1	F01503+1227	 	01 52 58.8	+12 42 25	145.44	-47.46	 	 	   0.53	 	32	R	I	 	   0.65	 	 50	U	T	 	    6.29	 	 35	U	T	 	   12.39	 	 140	U	T	 	 4556	 59.02	 	10.76	 	10.90	 	233	                                   	Simbad	NED
028.721250	+36.916389	UGC 01385        	 	2	F01519+3640	 	01 54 53.1	+36 54 59	136.80	-24.24	S	 	   0.23	:	30	U	T	g	   0.99	:	 30	U	T	g	    5.89	:	 37	U	P	g	    7.81	:	  96	U	P	g	 5621	 73.48	 	10.84	:	10.99	:	204	MRK0002                            	Simbad	NED
029.625833	+25.360000	UGC 01451        	 	1	F01556+2507	 	01 58 30.2	+25 21 36	141.51	-35.08	 	 	   0.25	 	38	U	T	 	   0.73	 	 22	U	T	 	    6.70	 	 36	U	T	 	   12.48	 	 150	U	T	 	 4919	 63.96	 	10.84	 	10.94	 	215	                                   	Simbad	NED
029.831250	+19.006389	NGC 0772         	 	1	F01565+1845	 	01 59 19.5	+19 00 23	144.39	-41.02	 	 	   1.10	 	22	R	I	 	   0.92	 	 42	R	I	 	    6.73	 	 39	R	I	 	   24.15	 	 141	M	I	 	 2409	 28.71	S	10.37	 	10.46	 	369	ARP078                             	Simbad	NED
030.572500	+68.361389	IRAS 01583+6807  	 	2	01583+6807 	 	02 02 17.4	+68 21 41	129.41	  6.39	 	 	   0.37	:	30	U	P	n	   0.81	:	 34	U	P	n	    6.44	:	 70	U	P	n	   12.92	:	 308	U	P	n	 3577	 49.33	 	10.61	:	10.73	:	281	                                   	Simbad	NED
032.349167	-10.136944	NGC 0835         	 	1	F02069-1022	 	02 09 23.8	-10 08 13	173.87	-64.98	S	 	   0.36	:	31	U	P	g	   0.50	:	 43	U	P	g	    5.31	:	 47	U	P	g	   12.60	:	 105	U	P	g	 4073	 52.90	 	10.64	:	10.74	:	280	ARP318NED01;MRK1021;HCG016A        	Simbad	NED
032.535417	+39.188611	NGC 0828         	 	2	F02070+3857	 	02 10 08.5	+39 11 19	139.19	-21.19	 	 	   0.72	 	27	U	T	 	   1.07	 	 31	U	T	 	   11.46	 	 53	U	T	 	   25.33	 	 113	U	T	 	 5371	 70.37	 	11.21	 	11.31	 	112	VIZw177                            	Simbad	NED
032.411667	-10.146111	NGC 0838         	 	1	F02071-1023	 	02 09 38.8	-10 08 46	173.99	-64.94	S	 	   0.68	:	31	U	P	g	   1.88	:	 48	U	P	g	   11.41	:	 55	R	S	g	   19.94	:	 197	R	S	g	 3859	 50.13	 	10.84	:	11.00	:	202	ARP318NED03;MRK1022;HCG016C        	Simbad	NED
032.428750	-10.184167	NGC 0839         	 	1	F02072-1025	 	02 09 42.9	-10 11 03	174.08	-64.96	S	 	   0.52	:	36	U	P	g	   2.27	:	 63	U	P	g	   11.67	:	 47	R	S	g	   13.03	:	 154	R	S	g	 3934	 51.10	 	10.81	:	10.97	:	208	ARP318NED04;HCG016D                	Simbad	NED
