Table 1
Summary of the Star-forming Galaxy Sample: Beyond the Local Group

Galaxy	D	L_1.4 GHz	L_12 mum	L_25 mum	L_60 mum	L_100 mum	L_8-1000 mum	L_HCN	Swift-BAT Detected	
NGC 2146	15.2	29.7	1.89	5.20	40.6	53.6	10	0.96	 ... 	
NGC 3079	16.2	26.7	0.798	1.13	15.9	32.9	4.3	1.0	Sy2	
NGC 1068	16.7	167	13.3	29.2	65.5	85.9	28	3.6	Sy2	
NGC 4030	17.1	5.50	0.472	0.805	6.47	17.8	2.1	0.54	 ... 	
NGC 4041	18.0	4.04	0.438	0.605	5.49	12.3	1.7	0.18	 ... 	
NGC 1365	20.8	27.4	2.65	7.39	48.8	85.8	13	3.1	Sy1.8	
NGC 1022	21.1	2.61	0.378	1.75	10.5	14.6	2.6	0.20	 ... 	
NGC 5775	21.3	15.2	0.993	1.34	12.8	30.2	3.8	0.57	 ... 	
NGC 5713	24.0	11.0	1.01	1.96	15.2	25.7	4.2	0.22	 ... 	
NGC 5678	27.8	10.3	0.869	1.11	8.94	23.7	3.0	0.75	 ... 	
NGC 520	31.1	20.5	1.04	3.73	36.5	54.8	8.5	0.64	 ... 	
NGC 7479	35.2	15.1	2.03	5.72	22.1	39.6	7.4	1.1	Sy2/LINER	
NGC 1530	35.4	10.4	1.08	1.84	14.8	38.7	4.7	0.49	 ... 	
NGC 2276	35.5	40.7	1.61	2.46	21.5	43.7	6.2	0.40	 ... 	
NGC 3147	39.5	17.3	3.64	1.92	15.3	55.3	6.2	0.90	 ... 	
Arp 299	43.0	150	8.78	54.2	250	246	63	2.1	 ... 	
IC 5179	46.2	43.4	3.01	6.13	49.5	95.2	14	3.4	 ... 	
NGC 5135	51.7	64.2	2.01	7.61	53.9	99.0	14	2.7	 ... 	
NGC 6701	56.8	35.6	2.12	5.10	38.8	77.4	11	1.4	 ... 	
NGC 7771	60.4	62.3	4.32	9.47	85.9	175	21	6.5	 ... 	
NGC 1614	63.2	66.1	6.60	35.8	154	164	39	1.3	 ... 	
NGC 7130	65.0	96.4	2.93	10.9	84.5	131	21	3.3	Sy2/LINER	
NGC 7469	67.5	98.7	8.67	32.5	149	192	41	2.2	Sy1.2	
IRAS 18293-3413	72.1	141	7.09	24.8	222	332	54	4.0	 ... 	
Arp 220	74.7	218	4.07	53.4	695	770	140	9.2	 ... 	
Mrk 331	75.3	48.4	3.53	17.2	122	154	27	3.4	 ... 	
NGC 828	75.4	71.3	4.90	7.28	78.0	172	22	1.3	 ... 	
IC 1623	81.7	199	8.23	29.2	183	252	47	8.5	 ... 	
Arp 193	92.7	108	2.57	14.6	175	251	37	9.5	 ... 	
NGC 6240	98.1	492	6.79	40.9	264	305	61	11	Sy2	
NGC 1144	117.3	256	4.58	10.4	87.3	187	25	2.7	Sy2	
Mrk 1027	123.5	101	4.74	11.3	96.4	156	26	1.9	 ... 	
NGC 695	133.5	161	10.7	17.7	162	289	47	4.3	 ... 	
Arp 148	143.3	90.9	4.91	17.4	157	253	36	4.0	 ... 	
Mrk 273	152.2	403	6.65	65.4	624	624	130	15	 ... 	
UGC 05101	160.2	525	7.68	31.3	359	611	89	10	 ... 	
Arp 55	162.7	118	4.43	19.3	192	327	46	3.8	 ... 	
Mrk 231	170.3	1080	63.5	307	1070	1030	300	19	 ... 	
IRAS 05189-2524	170.3	102	25.7	120	460	411	120	6.2	 ... 	
IRAS 17208-0014	173.1	296	7.17	57.7	1150	1290	230	38	 ... 	
IRAS 10566+2448	173.3	208	7.19	45.6	435	539	94	10	 ... 	
VII Zw 31	223.4	245	11.9	37.0	329	603	87	9.8	 ... 	
IRAS 23365+3604	266.1	244	7.63	79.6	630	763	140	15	 ... 	

Notes. Galaxy distances, total IR (8-1000 mum) luminosities, and HCN-line luminosities are provided by Gao & Solomon (2004b). RC luminosities at 1.4 GHz come primarily from Yun et al. (2001), except for M82 and NGC 3627 (Condon et al. 1990), NGC 4945 (Wright & Otrupcek 1990), and Arp 299, NGC 5775, NGC 7331, and VII Zw 31 (Condon et al. 1998). Galaxies appearing in the Swift BAT 58 month survey catalog with AGN-type classification are identified (Baumgartner et al. 2010).
